id,imię,nazwisko,płeć,PESEL,miasto,adres,karta_lojalnościowa,telefon,email
226,Eugeniusz,Wszołkowski,M,73022233970,Niemodlin,ul. Spacerowa 38,True,48852993165,hhaj96kywmg55@wp.pl
227,Jarosław,Bakiera,M,10261121134,Poznań,ul. Hansa Christiana Andersena 59,False,48294073288,bakiejaro2010@gmail.com
228,Krystyna,Elbanowska,K,88032157237,Koło,ul. Bacy 11,False,48010976009,elbanowska883@wp.pl
229,Kamila,Flieger,K,80122007859,Wrocław,ul. Świerkowa 63,False,48958321650,k-flieger8945@wp.pl
230,Edward,Paliwoda,M,07261883874,Kowalewo Pomorskie,ul. gen. Władysława Sikorskiego 45/20,False,48103163396,edw_pa2007@gazeta.pl
231,Anna,Chorab,K,02241570474,Wrocław,ul. Dolna 39,False,48139820495,chorab8@protonmail.com
232,Miłosz,Godlejewski,M,71110747019,Pszczyna,ul. Borówkowa 92,False,48093671808,godlejewski61450@gmail.com
233,Igor,Maniarski,M,06263058837,Wrocław,ul. Trawniki 68/19,False,48883297768,iman06@gmail.com
234,Katarzyna,Korycka,K,06242783273,Wrocław,ul. bł. ks. Jerzego Popiełuszki 10,False,48378330427,kat.ko@gmail.com
235,Kazimierz,Król,M,98090582458,Wrocław,ul. Starzyńska 6/4,False,48807510843,kazkro7701@wp.pl
236,Jan,Sikora,M,95082132956,Wrocław,ul. Cicha 9,False,48631266313,j.sik1995@o2.pl
237,Piotr,Poszwa,M,86032565157,Szczebrzeszyn,ul. Poprzeczna 29,False,48242888118,pio.po@interia.pl
238,Paweł,Mudryk,M,75050504279,Ostrowiec Świętokrzyski,ul. Hanki Ordonówny 30/12,True,48568760336,p.mudr@gmail.com
239,Wojciech,Hamal,M,99080439138,Wrocław,ul. Juliana Ursyna Niemcewicza 82/15,False,48473255846,woj-hama@gmail.com
240,Karol,Wolański,M,82030871878,Szczecin,ul. Krakowska 28/41,True,48104082965,k_wolansk6050@gmail.com
241,Mateusz,Petka,M,76060404331,Wrocław,ul. Brzozowa 6,False,48018020921,petka765@onet.pl
242,Wiesława,Mielczarek,K,83012036717,Wrocław,ul. Nad Śluzami 78/15,False,48772505613,mielczare_wiesl83@onet.pl
243,Przemysław,Maćkowiak,M,10262876477,Warszawa,ul. Przyjazna 18,False,48806037571,p.mackowiak10@gmail.com
244,Czesława,Larek,K,84061448157,Wrocław,ul. Jałowcowa 93,True,48555003296,c-larek@o2.pl
245,Maja,Chałupińska,K,03322773096,Wrocław,ul. Księcia Trojdena 84/25,True,48959381140,t9q6cs6@opayq.com
246,Tatsiana,Charzyńska,K,83080874750,Wrocław,ul. Wrzosowa 94/38,False,48472487330,t-ch1983@gmail.com
247,Jan,Lapneuski,M,05220932298,Czersk,ul. Zgodna 12,False,48408860717,j.lapneuski05@gmail.com
248,Sebastian,Herdzik,M,92053176094,Wrocław,ul. Malownicza 29/26,False,48663797370,herdz_s@onet.pl
249,Andrzej,Bugaj,M,08221916296,Wrocław,ul. Lwowska 38,False,48492121972,buga-andr@o2.pl
250,Tomasz,Kosiński,M,94013140174,Wrocław,ul. Topolowa 79,False,48337527305,b4d91kcb2@opayq.com
251,Roman,Zaskórski,M,84022693675,Opole,ul. Opolska 52/32,True,48673832608,zaskor.r1984@gmail.com
252,Beata,Cudak,K,81070222879,Kędzierzyn-Koźle,ul. Mariana Raciborskiego 71/21,False,48415704584,beac81@gmail.com
253,Władysława,Pokorska,K,85071175976,Warszawa,ul. Borowinowa 24/47,False,48817518911,w_pokorska85@gmail.com
254,Alan,Denkiewicz,M,04250398579,Wrocław,ul. Sądowa 59,False,48504326714,a-denk@interia.pl
255,Tadeusz,Dawidowski,M,98010865137,Zduńska Wola,ul. Jasna 67/3,False,48543331744,dawido1998@outlook.com
256,Krystyna,Paradowska,K,84060457150,Sosnowiec,ul. Wręczycka 28,False,48650702234,k_paradowska84@interia.pl
257,Diana,Twarużek,K,81091494914,Wrocław,ul. Szkolna 19/30,False,48664086627,dtwar606@gmail.com
258,Mateusz,Straciuk,M,05312133255,Tarnobrzeg,ul. Grobelna 35/47,False,48725923725,straciu.mateusz@o2.pl
259,Justyna,Jasińska,K,,Wrocław,ul. Świerkowa 91/48,False,48800913601,a54aysx0j2p7@opayq.com
260,Mieczysław,Przyżycki,M,89060489071,Głuszyca,ul. Szkutnicza 60/41,False,48051851200,m-przyzyck@interia.pl
261,Bohdan,Odoliński,M,93051126791,Wrocław,ul. Norbertanek 49/15,False,48001458758,x22c4pck1gz513c5@opayq.com
262,Katarzyna,Sheparovych,K,85091549315,Kielce,ul. Zielona 17/9,False,48805763156,k-sheparovych@wp.pl
263,Dariusz,Gąsowski,M,01252024914,Wrocław,ul. Górzysta 52/8,False,48861667739,e64vn52qz9sdwy12@opayq.com
264,Dorota,Marciniec,K,74011573291,Wrocław,ul. Przemysłowa 33/6,False,48137283332,w5wz410j3@opayq.com
265,Halina,Łącka,K,82092501597,Wrocław,ul. św. Teresy 46,False,48548593999,h_lacka@wp.pl
266,Daria,Hruszowiec,K,85082233177,Wrocław,ul. Lipowa 72,False,48113111709,hruszowiec19855@wp.pl
267,Jasur,Matusiak,M,73092318713,Pabianice,ul. Astrów 77/26,False,48789878151,j.matusiak73@gmail.com
268,Alojzy,Kowalski,M,76072649515,Wrocław,ul. Ratuszowa 53/17,False,48365031736,akowalsk@o2.pl
269,Rafał,Tumulski,M,86122197152,Wrocław,ul. Diamentowa 67/3,False,48825732687,uk0ps55@opayq.com
270,Nestor,Pryczek,M,84042491893,Pakość,ul. Kopernika 77,False,48753340662,n_pryc84@gmail.com
271,Michał,Handera,M,77080995296,Wrocław,ul. Błękitna 49/4,False,48486358628,h_michal77@gmail.com
272,Robert,Volkov,M,03281107213,Kędzierzyn-Koźle,ul. Krucza 26,False,48680558274,volkov2@gmail.com
273,Taisiia,Shcherbyna,K,71012680593,Szepietowo,ul. Bajkowa 74,False,48080514753,tai_shcherb@interia.pl
274,Anna,Mielewczyk,K,70033165317,Lublin,ul. Łąkowa 57/15,False,48336807344,a_mielewczyk1970@wp.pl
275,Daniel,Michalak,M,72061887771,Łódź,ul. Słoneczna 57/46,False,48041231891,michalak5@wp.pl
276,Katarzyna,Kujawska,K,02280185998,Tarnobrzeg,ul. Stroma 8/2,False,48447623915,kkuj02@gmail.com
277,Henryka,Wesoła,K,10301882955,Wrocław,ul. Dębowa 29,True,48095112523,h_wesol2010@onet.pl
278,Ryszard,Witowski,M,08323041335,Wrocław,ul. Warsztatowa 11,False,48282484583,r_witowski@gmail.com
279,Zofia,Piekarz,K,88092564774,Wrocław,ul. Wyzwolenia 65/19,False,48000779254,piekarz19886@gmail.com
280,Bernarda,Sarnicka,K,85092514334,Lębork,ul. Rolnicza 17/47,False,48793447823,sar@yahoo.com
281,Katarzyna,Świercz,K,05212956516,Wrocław,ul. Łąkowa 62/7,False,48249982334,k-swie@vp.pl
282,Ryszard,Pachobut,M,73092952636,Koszalin,ul. Kościuszki 25/21,False,48941018532,rpachobu1973@onet.pl
283,Mykola,Gruszczyński,M,88122010417,Kętrzyn,ul. Wrocławska 23/30,False,48873045199,gruszczynski8@interia.pl
284,Piotr,Ciechowski,M,98051456895,Łódź,ul. Berylowa 25/13,False,48712346762,ciechowspiotr@interia.pl
285,Piotr,Kasperczyk,M,86123026817,Wrocław,ul. gen. Franciszka Kleeberga 17/37,False,48212110086,kas_piotr@gmail.com
286,Daniel,Perdek,M,08292984079,Wschowa,ul. Kolejowa 93,False,48691563399,dan-perde08@gmail.com
287,Artur,Kufel,M,92031818097,Wrocław,ul. Modrzewiowa 13/23,False,48935330740,kufe_@wp.pl
288,Oleh,Banach,M,76011236639,Trzebinia,ul. Leśna 20/51,True,48382122254,j63z913zf89@wp.pl
289,Stanisław,Opęchowski,M,84121460833,Wrocław,ul. Jodłowa 44/21,False,48904888670,opechowski0@gmail.com
290,Janina,Pająk,K,85030804857,Tychy,ul. Zielona 42/48,False,48737585055,jpajak85@gmail.com
291,Jan,Kubiszewski,M,90061392013,Wrocław,ul. Zamiejska 64/50,False,48059701333,j.kubisze8500@gmail.com
292,Jakub,Ścibło,M,86031125776,Wałbrzych,ul. Sezamkowa 1,False,48503977842,sciblo869@interia.pl
293,Radosław,Kaluhin,M,10252097859,Radomsko,ul. Protazego 65/20,False,48210802378,radkal10@wp.pl
294,Marzena,Mikulska,K,08320382776,Wrocław,ul. Mała 54,False,48808512327,m.marz@wp.pl
295,Krystyna,Hołyst,K,87111525598,Reszel,ul. Spółdzielcza 57,False,48065182725,kry.holys6529@gmail.com
296,Joanna,Galas,K,96060156977,Olesno,ul. Promienna 92/6,False,48998928192,ch2e7vwnc6@opayq.com
297,Irena,Marciniak,K,06302630598,Ostrów Wielkopolski,ul. Trasa Zamkowa im. P. Zaremby 57/33,False,48387055180,marcin.irena2006@gmail.com
298,Alina,Brudnicka,K,87031718331,Żnin,ul. Jasia i Małgosi 78/43,False,48038979448,brudnia1987@gmail.com
299,Jolanta,Politowicz,K,92121276673,Wrocław,ul. Parkowa 54,False,48940683689,j-politowicz1992@outlook.com
300,Khrystyna,Pietraszewska,K,99110972851,Wrocław,ul. Kwarcowa 60/15,False,48726708055,kpi@wp.pl
301,Katarzyna,Zając,K,80100596195,Wisła,ul. Henryka Sienkiewicza 61/6,False,48549897381,u8b122ijbo4vmh21@opayq.com
302,Przemysław,Leszczyński,M,83021528553,Poznań,ul. Żółwia 82/17,False,48307234056,leszczynski5@vp.pl
303,Marcin,Szabłowski,M,84080646138,Wrocław,ul. Świętojańska 28,False,48442499699,m_szablow@onet.pl
304,Serhii,Nijakowski,M,93021985234,Szczecin,ul. Kazimierza Pułaskiego 9/36,False,48537841375,nijakowski19938@onet.pl
305,Maryia,Kacprzak,K,71042503352,Wrocław,ul. Ogrodowa 54,False,48985074338,m_ka1971@gmail.com
306,Czesław,Muraszko,M,98021215413,Prudnik,ul. Kryształowa 47/22,False,48687396654,goc0usz5d@opayq.com
307,Paweł,Kukushkin,M,94110126255,Wrocław,ul. Wrzosowa 18/38,False,48526898764,p-kukush@gmail.com
308,Daniel,Kreczyński,M,08241159952,Wrocław,ul. Adama Branickiego 15,False,48080715412,d_krec2008@o2.pl
309,Łucja,Firganek,K,03261025454,Sandomierz,ul. Tarnowska 91,False,48261688771,luc_firgane2003@onet.pl
310,Krystyna,Mainusz,K,05292649018,Wrocław,ul. Wincentego Witosa 62,False,48404916705,mainus.krysty5020@gmail.com
311,Barbara,Ataryk,K,84072045194,Wrocław,ul. Janowiec 29/16,True,48602920841,m6jl1a7a854@onet.pl
312,Ion,Rewieński,M,09291722899,Wrocław,ul. Armii Krajowej 55/4,False,48078786552,ionrewiensk2007@gmail.com
313,Radosław,Bergiel,M,,Łódź,ul. Poprzeczna 29,False,48220178628,r.be85@gmail.com
314,Zoja,Nowakowska,K,92092509259,Wrocław,ul. Krośnieńska 41,False,48887570741,z.nowakowska3162@gmail.com
315,Zuzanna,Strauss,K,89032007638,Wrocław,ul. Głęboczka 8/14,False,48316702164,pn39244w116i@wp.pl
316,Paweł,Prasuła,M,02241579176,Wrocław,ul. Boczna 49/32,False,48014558688,prasul.p02@onet.pl
317,Jacek,Felski,M,98122651275,Wrocław,ul. Armii Krajowej 47/27,False,48645007235,felski2@o2.pl
318,Michał,Grodzki,M,84072057755,Kraków,ul. Topolowa 36/33,False,48906391749,hk9bo5koed@opayq.com
319,Bożena,Kijewicz,K,89060613832,Wrocław,ul. Szuwarowa 4/29,False,48869710680,bkijewicz89@o2.pl
320,Leszek,Szopniewski,M,93101752277,Opole,ul. Poetycka 37/1,False,48892247429,les-szo@wp.pl
321,Wojciech,Zagłoba,M,04222841812,Wrocław,ul. Koziołka Matołka 75,False,48349062907,zaglw2004@gmail.com
322,Andrii,Cyk,M,08291805674,Konstantynów Łódzki,ul. Józefa Chełmońskiego 73/43,False,48851137494,kpgbqatjq18@opayq.com
323,Mariusz,Cichy,M,78092913456,Wrocław,ul. Kasztanowa 30,False,48064626785,m.cich@o2.pl
324,Maria,Rękawek,K,84082680972,Mińsk Mazowiecki,ul. Formierska 59,False,48478598668,e2w5405llx5@wp.pl
325,Sławomir,Lis,M,05301540659,Wrocław,ul. Propolisowa 1,False,48514820944,s.li05@wp.pl
326,Kacper,Dąbrowski,M,71110941871,Giżycko,ul. Moniuszki 77/37,False,48838094708,k9r44hul28@onet.pl
327,Joanna,Zubrycka,K,91062665397,Wrocław,ul. Barwna 83,False,48983303527,zubryckjoanna2843@onet.pl
328,Stanisław,Rzeszowski,M,87010466295,Warszawa,ul. Iglasta 77/13,False,48233823405,srzeszowski87@gmail.com
329,Katarzyna,Firlej,K,01311522719,Częstochowa,ul. Ogrodowa 2/31,False,48083426557,kat_firle2001@onet.pl
330,Liudmyla,Kiełbowicz,K,05302694593,Wrocław,ul. Wilcza 34/24,False,48416060187,kielbowicz20053@wp.pl
331,Santino,Niemiec,M,99110165336,Wrocław,ul. Rybacka 52,False,48994773820,san_niemie1999@gmail.com
332,Agata,Sinkowska,K,10290335979,Wrocław,ul. Świerkowa 83/27,False,48928013782,asin@gmail.com
333,Agnieszka,Gaweł,K,73080247517,Biały Bór,ul. Piękna 12,False,48544419481,a-gawel@wp.pl
334,Krzysztof,Latuszek,M,71021540473,Wrocław,ul. Sokola 39/5,False,48207315264,klatuszek1971@outlook.com
335,Patrycja,Witkowska,K,02322293731,Wrocław,ul. Henryka Sienkiewicza 8/2,False,48547472776,p.witkowska2002@vp.pl
336,Nadia,Lyman,K,93082172039,Wrocław,ul. Parkowa 66/22,False,48452659728,ujw51l8c3uj9kl88@opayq.com
337,Anna,Chylińska,K,86081523371,Koronowo,ul. Słoneczna 34/3,False,48342978370,a.chylinska86@interia.pl
338,Alicja,Wójcik,K,96093095995,Wrocław,ul. Niekłańska 90/36,False,48503345410,ali_wojc96@wp.pl
339,Nazar,Suchocki,M,80061756618,Ozimek,ul. Pustółki 38,True,48123041184,a8b5rm0q01462@wp.pl
340,Aleksandra,Gajda,K,02221883592,Bełchatów,ul. Sasankowa 13/27,False,48860506263,agajda02@wp.pl
341,Witold,Boczek,M,93041134975,Wrocław,ul. Kaliny 44/28,False,48771515769,w-boczek1993@yahoo.com
342,Karina,Paczocha,K,09222693056,Wrocław,ul. Józefa Hoene-Wrońskiego 66,False,48626234071,paczkarina@wp.pl
343,Władysława,Skrzypa,K,98052821553,Wrocław,ul. Józefa Poniatowskiego 1,False,48844151588,sk-wladys98@gmail.com
344,Wanda,Konieczna,K,73101560979,Bydgoszcz,ul. Morenowa 22/50,False,48868510468,lg7ozgu54d22@interia.pl
345,Krzysztof,Plevinski,M,76061537230,Łódź,ul. Rocha 6/23,False,48657824215,plevins.krzys@onet.pl
346,Robert,Czok,M,77012357332,Wrocław,ul. Handlowa 72/29,False,48146494788,czorob5822@gmail.com
347,Zofia,Grochólska,K,92041740979,Wrocław,ul. Miastkowska 33/27,False,48148159406,grocholska5@onet.pl
348,Bożena,Dudzik,K,78111840697,Trzemeszno,ul. Spacerowa 82,False,48838440400,boz_dudz78@wp.pl
349,Alan,Mishchenko,M,07302221274,Wrocław,ul. Fiołkowa 86/44,False,48672762691,amishchenko@onet.pl
350,Natalia,Bałut,K,09291048533,Łódź,ul. Gerberowa 3/2,False,48598565367,nbalut09@o2.pl
351,Jarosław,Dziedzic,M,80080770093,Gdańsk,ul. Miasteczko Młodego Robotnika 65/23,False,48009105795,jardzi1980@gmail.com
352,Bohdan,Kaźmierczak,M,01302155391,Wrocław,ul. Spokojna 28/27,True,48847723074,g6p83noc78i@wp.pl
353,Paula,Słowińska,K,76061270197,Krosno,ul. Słoneczna 9/43,False,48715836531,p_sl1976@o2.pl
354,Edyta,Kupczyk,K,75042636595,Wrocław,ul. Willowa 59,False,48017589230,kupczy.edyta@interia.pl
355,Tomasz,Zamiara,M,88051556152,Wrocław,ul. Andrzeja Małkowskiego 46,False,48876110097,bqwo9gr@opayq.com
356,Hanna,Mikołajczyk,K,70041754738,Zielona Góra,ul. Lipowa 7/34,False,48682115843,mi-han@vp.pl
357,Bernadetta,Zmysłowska,K,81042562679,Wrocław,ul. Wileńska 8,False,48248843304,zmyslowska819@gmail.com
358,Matteo,Sobczak,M,,Nowa Sarzyna,ul. Zbigniewa Górala 89/30,False,48912710902,e4j541uewcig2i@o2.pl
359,Paweł,Pawełkiewicz,M,72030821010,Wrocław,ul. Akacjowa 20/34,False,48668666003,pawelkiewicz19724@o2.pl
360,Elżbieta,Janus,K,92021592017,Białystok,ul. Wybickiego 55/11,False,48334540068,ej1992@interia.pl
361,Karolina,Galicka,K,98092270078,Gorzów Wielkopolski,ul. Głogowa 13,False,48808658970,k.galicka@gmail.com
362,Maria,Klepko,K,78101508998,Złotoryja,ul. Prostopadła 64,False,48849823164,klepko19784@wp.pl
363,Deepak,Ankiewicz,M,02302394553,Wrocław,ul. Leśna 59,False,48592777494,d-ankiewicz02@protonmail.com
364,Monika,Bromek,K,86031526874,Bydgoszcz,ul. Środkowa 46/32,False,48804193256,if0192d3jaa4704m@opayq.com
365,Magdalena,Czaja,K,05240163256,Wrocław,ul. Jastrzębia 26/7,False,48033041529,czaj.magd@onet.pl
366,Julia,Płoskonka,K,05242055232,Wrocław,ul. Łowiecka 3/29,False,48654528572,o6iv0770y1z915@gmail.com
367,Marzena,Falewicz,K,91060335030,Starachowice,ul. Jeżynowa 46/26,False,48311049246,m_falew1991@gmail.com
368,Igor,Stankiewicz,M,08220106373,Wrocław,ul. Wrzosowa 68/43,False,48123228499,stankiewicz5@onet.pl
369,Julia,Rakocy,K,,Wrocław,ul. Parkowa 2/8,False,48211336524,rako_jul2009@vp.pl
370,Nikola,Wysmulska,K,00301405759,Wrocław,ul. Pusta 37,False,48959135564,wysmulsknik00@o2.pl
371,Ewa,Kordecka,K,07291484559,Gdynia,pl. Kormorana 58/50,True,48558182667,h6x3ol602s16wijq4@opayq.com
372,Svitlana,Andrysek,K,07292997696,Wrocław,ul. Robotnicza 39,False,48422172766,s.andrysek@gmail.com
373,Andrzej,Burchak,M,72060133651,Wrocław,ul. Stanisława Worcella 97,False,48802493120,vbc65af1g4i0o@opayq.com
374,Jerzy,Piorun,M,93102480456,Ełk,ul. Leśna 78,False,48349860810,jpiorun1993@wp.pl
375,Bartosz,Porwich,M,70011521890,Wrocław,ul. Brzozowa 22,False,48692306661,b_porwich8860@gmail.com
376,Marek,Baran,M,97050484339,Rzeszów,ul. Podkarpacka 40/31,False,48290302355,m.baran@interia.pl
377,Mateusz,Jaworek,M,91030721458,Wrocław,ul. Wesoła 64,False,48480820701,jaworek19911@wp.pl
378,Katarzyna,Ulanowska,K,76091792414,Radziejów,ul. Ogrodowa 22,False,48878416929,ulanowsk.kat76@onet.pl
379,Izabela,Hoffmann,K,08281644373,Piaseczno,ul. Miodowa 16/48,False,48928174156,ihoffman08@gmail.com
380,Edyta,Mac,K,70061525653,Kluczbork,ul. Parkowa 55/44,False,48471580380,e_ma1970@gmail.com
381,Aniela,Wertejuk,K,86050117570,Zielona Góra,ul. Wysoka 64/46,False,48768237026,wertej-aniela1986@wp.pl
382,Artur,Lorens,M,97121621959,Wrocław,ul. Pasieczna 39/3,False,48609736932,fw3e5hyg1e9y682c@opayq.com
383,Stanisława,Wojtowicz,K,82092388099,Wrocław,ul. Słoneczna 11,False,48536342761,sta_wojtowic1982@wp.pl
384,Tomasz,Żuk,M,98062101177,Wrocław,ul. Lipowa 73/12,False,75854484273460,t_zu@o2.pl
385,Bartosz,Caban,M,83060962354,Wrocław,ul. Mostowa 27,False,48692679296,vnx53g95v343l4@vp.pl
386,Paweł,Soroka,M,90102688457,Wrocław,ul. Władysława Pniewskiego 95,False,48756609166,p_soroka@wp.pl
387,Maryna,Trzyna,K,86040719153,Wrocław,ul. Sikorskiego 6,False,48599377013,trzyna2@gmail.com
388,Ireneusz,Papaj,M,05310879711,Łódź,ul. Perłowa 94/33,False,48699447066,i.papaj@gmail.com
389,Alexander,Iwaniuk,M,09302573030,Bydgoszcz,ul. Dziewicza 38,False,48553093229,iwaniuk5@gmail.com
390,Krystyna,Shulim,K,09232458193,Wrocław,ul. Stanisława Poniatowskiego 39/50,False,48427159052,kshuli09@wp.pl
391,Marcin,Łukaszewski,M,90100754156,Szczecinek,ul. Hawajska 41/10,False,48748273880,marl1990@onet.pl
392,Dariusz,Sergiienko,M,86020715294,Wrocław,ul. Zielona 50/42,False,48636752090,d-sergi1986@onet.pl
393,Samuel,Drwięga,M,92092302470,Wrocław,ul. Myśliwska 82/28,False,48261761598,s5z6d7i3660b93@interia.pl
394,Tymoteusz,Lebedev,M,03280585856,Toruń,ul. Stanisława Repelowskiego 16,False,48062308355,m6mq2m55g@opayq.com
395,Ryszard,Abdullazada,M,,Wrocław,ul. Kingi 15/31,False,48381715924,abdu.ryszard2003@onet.pl
396,Maja,Szulborska,K,87081408936,Szczecin,ul. Strzelecka 36/19,True,48307577565,maj.szulb87@onet.pl
397,Patrycja,Matys,K,95110479879,Wrocław,ul. Krótka 38/36,False,48879840246,p.matys2727@interia.pl
398,Halina,Hudym,K,,Toruń,ul. Roślinna 68,False,48211032059,hud1971@wp.pl
399,Kamil,Tkachuk,M,04231803739,Wrocław,ul. Lipowa 16,False,48005261270,tk-k@onet.pl
400,Jan,Wielgosz,M,93091261317,Wrocław,ul. Ogrodowa 80,False,48814644750,wielgojan@interia.pl
401,Marcel,Słotwiński,M,78092655879,Dzierżoniów,ul. Odwozy 95/33,False,48237067283,slotwinski0@vp.pl
402,Tomasz,Zwior,M,07260542857,Tułowice,ul. Działkowa 12/33,False,48586074018,o0dg8d89gfl8@gmail.com
403,Krzysztof,Widuliński,M,95063052396,Oława,ul. Drwali 63/24,False,48451418775,k-widulinski1995@wp.pl
404,Daniel,Waszczuk,M,03311265656,Wrocław,ul. Sowińskiego 41/18,False,48289143958,waszc.danie@gmail.com
405,Anna,Bienkiewicz,K,77050158175,Mielec,ul. Jędrzejowska 6,False,48122078561,bienkiew-anna@wp.pl
406,Justyna,Czempa,K,72030557618,Wrocław,ul. Częstochowska 67/40,False,48162391095,j.czempa@onet.pl
407,Renata,Franz,K,05230374031,Starogard Gdański,ul. Poleska 79,False,48211927790,franz66566@onet.pl
408,Stefan,Kopeć,M,05291645152,Wrocław,ul. Młyńska 48/51,True,48256223828,s_kope@o2.pl
409,Paweł,Krom,M,81100692195,Częstochowa,ul. Zielone Wzgórze 75/26,False,48662260383,krom0@gmail.com
410,Aleksander,Paliaichuk,M,10280631791,Szczecin,ul. Długosza 36/20,False,48821101222,paliaic-alek10@onet.pl
411,Bożena,Walendziuk,K,97061133110,Wrocław,ul. Władysława Reymonta 95,False,48365483811,b-walendziuk97@wp.pl
412,Olha,Latoch,K,88080332053,Kraków,ul. Stara Droga 23/45,False,48403016921,olatoc546@o2.pl
413,Marek,Wróblewski,M,77063009431,Legnica,ul. Poznańska 43/35,False,48560721507,mar-wroblew1977@onet.pl
414,Dominika,Zhdanko,K,72012787334,Gdańsk,ul. Piotra Skargi 62/17,False,48491757830,domzhda1972@onet.pl
415,Nikola,Spernoga,K,85081674834,Wrocław,ul. Bukowa 40,False,48229422215,spernoga19853@wp.pl
416,Wiesław,Szczotka,M,94051817931,Wrocław,ul. Rembrandta 41/51,False,48417830309,w-sz@gmail.com
417,Danuta,Kuprata,K,83111782612,Kłodzko,ul. Gabriela Narutowicza 16,False,48643495091,dkuprata@vp.pl
418,Marcelina,Krupa,K,90010697190,Wrocław,ul. Kolejowa 45/1,False,48041674750,m.krup1661@wp.pl
419,Wojciech,Marianowski,M,92031609190,Wrocław,ul. Sosnowa 20,False,48748334411,woj.marian1992@wp.pl
420,Cecylia,Damijan,K,76012891534,Żychlin,ul. Przemysłowa 29/46,False,48807134050,damijcecyli76@gmail.com
421,Joanna,Avalon,K,86053039530,Wrocław,ul. Mewia 71/26,False,48563113100,avalon19860@wp.pl
422,Szymon,Kopczyński,M,88100963258,Pyrzyce,ul. Krzepty 8,False,48428506484,szy-ko1988@o2.pl
423,Daria,Wąsik,K,93020907219,Wrocław,ul. Słoneczna 25/8,False,48793173089,wasi_1993@interia.pl
424,Gabriela,Bielec,K,72050500496,Zielona Góra,ul. Biznes Park 75/4,False,48596161757,bielec721@gmail.com
425,Jolanta,Rutkowska,K,85091355778,Wrocław,ul. ks. Józefa Stafieja 19/9,False,48562574681,npmm7258imok4w@opayq.com
426,Anna,Bielawska,K,83113063098,Wrocław,ul. Kolanowska 45/34,False,48908615661,b_anna@interia.pl
427,Agata,Czerniakiewicz,K,80071569550,Poddębice,ul. Długa 72,False,48829852063,czerniakiewicz0@o2.pl
428,Jadwiga,Salikier,K,77061660151,Wrocław,ul. Krótka 76/25,False,48827842176,salikjad@gmail.com
429,Mariusz,Tomczak,M,97100198111,Szczecinek,ul. Jasna 71,False,48733639777,mar.tom@onet.pl
430,Władysław,Chmielak,M,04310650678,Goleniów,ul. Koprowa 86/3,False,48381113533,a1z6x69m8jw73@opayq.com
431,Danuta,Ulitina,K,73052571615,Wrocław,ul. Bakaliowa 23,False,48152518388,d_uliti@interia.pl
432,Tomasz,Pietrucin,M,80042709118,Wrocław,ul. Sportowa 24,False,48563389753,tpi1980@wp.pl
433,Krzysztof,Słowiński,M,76021457259,Poznań,ul. Ogrodowa 11,False,48712332912,krz.slowinsk76@gmail.com
434,Vitalii,Adam,M,92060406890,Wrocław,ul. Kaniowska 87/11,False,48279138145,ada-vit@gmail.com
435,Grzegorz,Guluyev,M,70091755390,Wrocław,ul. Długa 14,False,48114218412,wv90m4m9v@gmail.com
436,Piotr,Dolido,M,91081100798,Wrocław,ul. Tuwima 14/40,False,48195124946,doli_piotr91@wp.pl
437,Łukasz,Frej,M,86031806053,Radom,ul. Dobieżyńska 85/8,False,48076027462,fre-luk@gmail.com
438,Patryk,Kaźmierczak,M,78083097275,Wrocław,ul. Wierzbowa 51/10,True,48110561728,h09l5m4covcs9908d@interia.pl
439,Paweł,Szumny,M,01210980476,Skarżysko-Kamienna,ul. Rzeczna 64/12,False,48397641038,szumny6@gmail.com
440,Katarzyna,Wydra,K,86011163354,Wrocław,ul. Rybitwy 67/28,False,48291447186,kat-wydr@gmail.com
441,Artur,Jędrzejczak,M,73120511336,Wrocław,ul. Cypriana Kamila Norwida 42/6,False,48361813339,jedrzejczak19738@interia.pl
442,Karol,Cypra,M,89092191458,Wrocław,ul. Tatrzańska 36/36,False,48561854547,kar-c@yahoo.com
443,Weronika,Gromek,K,79092299034,Kętrzyn,ul. Grabowa 43/44,False,48556738912,wergrome79@gmail.com
444,Dawid,Kupiński,M,98040113417,Inowrocław,ul. Energetyka 73/5,False,48960318598,d_kupinsk@o2.pl
445,Mateusz,Staszkiewicz,M,89110915338,Wrocław,ul. Janusza Kusocińskiego 6/25,False,48030051607,m-staszkiewicz@gmail.com
446,Piotr,Ślusarski,M,89020374690,Barlinek,ul. Ciemna 47/35,False,48767151928,slusarski5@vp.pl
447,Henryk,Wojtowicz,M,76030472979,Wrocław,ul. Kościelna 31/30,False,48625176289,hen.w@gmail.com
448,Ewa,Piskorska,K,81062743991,Wrocław,ul. Kliny 20/18,False,48339468806,zpm8j6aeu1yn@vp.pl
449,Ewa,Hadam,K,93022114891,Wrocław,ul. Zacisze 32/18,False,48954731020,had-ewa1993@vp.pl
450,Małgorzata,Nocoń,K,90040632978,Wałbrzych,ul. Bierzewicka 79,False,48422127033,m.noco@gmail.com
451,Anna,Niżnik,K,81060948534,Głogów,ul. Pałucka 55,False,48913915448,ann.nizni@interia.pl
452,Krystyna,Kovalenko,K,89061789958,Wrocław,pl. Niepodległości 89/43,True,48863721194,kovalenko896@gmail.com
453,Joanna,Sęk,K,09322375511,Żagań,ul. Kwiatowa 10/41,False,48409162475,j_sek2009@o2.pl
